smi_std,smiles,logp,source,units
CC(C)c1ccc(NC(=O)CN(CC(=O)O)CC(=O)O)cc1Br,CC(C)c1ccc(NC(=O)CN(CC(=O)O)CC(=O)O)cc1Br,-0.08,OpenChem.sdf,
c1csc(-c2ccc(-c3cccs3)s2)c1,c1csc(-c2ccc(-c3cccs3)s2)c1,5.57,OpenChem.sdf,
Brc1c2ccccc2cc2ccccc12,Brc1c2ccccc2cc2ccccc12,5.37,OpenChem.sdf,
CC(=O)OCC1OC(n2ccc(N)nc2=O)C(OC(C)=O)C1OC(C)=O,CC(=O)OCC1OC(n2ccc(N)nc2=O)C(OC(C)=O)C1OC(C)=O,-0.8,OpenChem.sdf,
COC(=O)NC1=NCC(c2ccccc2Br)N1,COC(=O)NC1=NCC(c2ccccc2Br)N1,1.85,OpenChem.sdf,
CC(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C,CC(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C,-0.51,OpenChem.sdf,
C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,3.39,OpenChem.sdf,
CCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,CCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,4.24,OpenChem.sdf,
O=C(Nc1ccc(F)cc1)c1cc(Cl)cc(Cl)c1O,O=C(Nc1ccc(F)cc1)c1cc(Cl)cc(Cl)c1O,4.76,OpenChem.sdf,
O=c1c2ccccc2oc2ccccc12,O=c1c2ccccc2oc2ccccc12,3.39,OpenChem.sdf,
O=[N+]([O-])c1cc([N+](=O)[O-])c(ONCC(F)(F)F)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(ONCC(F)(F)F)c([N+](=O)[O-])c1,1.39,OpenChem.sdf,
Cc1cccc(C(C)C)c1,Cc1cccc(C(C)C)c1,4.5,OpenChem.sdf,
CN(C)CCN1c2ccccc2Sc2ccccc21,CN(C)CCN1c2ccccc2Sc2ccccc21,4.2,OpenChem.sdf,
CN(C)c1cncnc1,CN(C)c1cncnc1,0.46,OpenChem.sdf,
OC(C1CC1)C1CC1,OC(C1CC1)C1CC1,1.07,OpenChem.sdf,
O=c1cn[nH]c2ccccc12,O=c1cn[nH]c2ccccc12,0.82,OpenChem.sdf,
O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,0.47,OpenChem.sdf,
CC#CCOC(C)c1ccc(OC)c(OC)c1,CC#CCOC(C)c1ccc(OC)c(OC)c1,2.4,OpenChem.sdf,
N#Cc1cc(-c2ccncc2)cnc1NCCCCO,N#Cc1cc(-c2ccncc2)cnc1NCCCCO,1.93,OpenChem.sdf,
CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,2.32,OpenChem.sdf,
NC1=NCC(CN2CCN(c3ccc(Cl)cc3)CC2)O1,NC1=NCC(CN2CCN(c3ccc(Cl)cc3)CC2)O1,1.71,OpenChem.sdf,
CC(C)(C)NCC(O)COC1CCCc2ccccc21,CC(C)(C)NCC(O)COC1CCCc2ccccc21,3.55,OpenChem.sdf,
Cc1c(-c2ccccc2)ssc1=S,Cc1c(-c2ccccc2)ssc1=S,3.95,OpenChem.sdf,
Fc1cccc(Br)c1,Fc1cccc(Br)c1,2.92,OpenChem.sdf,
O=C1CCC(=O)N1c1cccc(Br)c1,O=C1CCC(=O)N1c1cccc(Br)c1,1.09,OpenChem.sdf,
COc1ccc(C2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)C2C)cc1,COc1ccc(C2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)C2C)cc1,5.6,OpenChem.sdf,
C[N+](C)(C)Cc1cccc(O)c1,C[N+](C)(C)Cc1cccc(O)c1,-2.4,OpenChem.sdf,
COc1ccc(-c2nnc(NC(=O)c3c(OC)cccc3OC)s2)cc1,COc1ccc(-c2nnc(NC(=O)c3c(OC)cccc3OC)s2)cc1,3.56,OpenChem.sdf,
Cn1cnc([N+](=O)[O-])n1,Cn1cnc([N+](=O)[O-])n1,-0.68,OpenChem.sdf,
CC(=O)Oc1ccccc1Cl,CC(=O)Oc1ccccc1Cl,2.18,OpenChem.sdf,
O=[N+]([O-])c1cncnc1,O=[N+]([O-])c1cncnc1,-0.05,OpenChem.sdf,
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,3.12,OpenChem.sdf,
Cc1cccc(N)c1,Cc1cccc(N)c1,1.4,OpenChem.sdf,
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.78,OpenChem.sdf,
C[N+](C)([O-])CCCN1c2ccccc2Sc2ccccc21,C[N+](C)([O-])CCCN1c2ccccc2Sc2ccccc21,1.9,OpenChem.sdf,
CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21,CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21,3.14,OpenChem.sdf,
O=C1NC(Cc2c[nH]c3ccccc23)C(=O)NC1Cc1c[nH]c2ccccc12,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)NC1Cc1c[nH]c2ccccc12,2.04,OpenChem.sdf,
CCc1ccc(OC(C)=O)cc1,CCc1ccc(OC(C)=O)cc1,2.56,OpenChem.sdf,
CN(C)N=Nc1ccc(C(F)(F)F)cc1,CN(C)N=Nc1ccc(C(F)(F)F)cc1,4.0,OpenChem.sdf,
C[n+]1cccc2ccccc21,C[n+]1cccc2ccccc21,-2.64,OpenChem.sdf,
C1CCCCC1,C1CCCCC1,3.44,OpenChem.sdf,
CCCOc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,CCCOc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.1,OpenChem.sdf,
Cc1cc(OCCN(C)C)c(C(C)C)cc1O,Cc1cc(OCCN(C)C)c(C(C)C)cc1O,2.93,OpenChem.sdf,
O=C1c2ccccc2C(=O)C1(O)O,O=C1c2ccccc2C(=O)C1(O)O,0.67,OpenChem.sdf,
N#Cc1ccnc2ccccc12,N#Cc1ccnc2ccccc12,1.98,OpenChem.sdf,
NC(=O)c1cccc(Cn2ccnc2)c1,NC(=O)c1cccc(Cn2ccnc2)c1,-0.01,OpenChem.sdf,
C=C(C)C(=O)OCC,C=C(C)C(=O)OCC,1.94,OpenChem.sdf,
NC(=O)c1[nH]cnc1N=NN(CCO)CCO,NC(=O)c1[nH]cnc1N=NN(CCO)CCO,-1.09,OpenChem.sdf,
CCCN(C)CCO,CCCN(C)CCO,0.65,OpenChem.sdf,
FC(F)(F)C(F)(F)c1ccccc1,FC(F)(F)C(F)(F)c1ccccc1,3.36,OpenChem.sdf,
COc1cccc(COC(C)=O)c1,COc1cccc(COC(C)=O)c1,2.02,OpenChem.sdf,
CN(C)CCC(c1ccccc1)c1ccc(C(C)(C)C)cc1,CN(C)CCC(c1ccccc1)c1ccc(C(C)(C)C)cc1,5.1,OpenChem.sdf,
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(C)O)C(C)=C1C2(C)C,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(C)O)C(C)=C1C2(C)C,1.52,OpenChem.sdf,
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.2,OpenChem.sdf,
COc1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1,COc1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1,4.31,OpenChem.sdf,
Nc1ccc(C(=O)Oc2cccc(Br)c2)c(O)c1,Nc1ccc(C(=O)Oc2cccc(Br)c2)c(O)c1,3.84,OpenChem.sdf,
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,2.03,OpenChem.sdf,
CCC12CC3CC(CC(N)(C3)C1)C2,CCC12CC3CC(CC(N)(C3)C1)C2,3.4,OpenChem.sdf,
Cc1cc(=O)[nH]nc1C=Cc1ccc(-n2cnc3c2CCCC3)cc1,Cc1cc(=O)[nH]nc1C=Cc1ccc(-n2cnc3c2CCCC3)cc1,3.1,OpenChem.sdf,
NC(=O)CCCc1ccccc1,NC(=O)CCCc1ccccc1,1.41,OpenChem.sdf,
CNC(=O)CCc1ccccc1,CNC(=O)CCc1ccccc1,1.17,OpenChem.sdf,
Cc1[nH]cnc1CSCCNC1=NS(=O)(=O)CCN1,Cc1[nH]cnc1CSCCNC1=NS(=O)(=O)CCN1,-0.74,OpenChem.sdf,
O=C(O)c1cccnc1,O=C(O)c1cccnc1,0.36,OpenChem.sdf,
CCCCCCCCOC(=O)c1ccc(N)cc1,CCCCCCCCOC(=O)c1ccc(N)cc1,5.02,OpenChem.sdf,
COC(=O)c1ccccc1CS(N)(=O)=O,COC(=O)c1ccccc1CS(N)(=O)=O,0.37,OpenChem.sdf,
CCC(C)(C)C(=O)O,CCC(C)(C)C(=O)O,1.9,OpenChem.sdf,
Cc1ccc(Nc2c([N+](=O)[O-])c(C)nn2-c2ccccc2)cc1,Cc1ccc(Nc2c([N+](=O)[O-])c(C)nn2-c2ccccc2)cc1,3.43,OpenChem.sdf,
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,2.19,OpenChem.sdf,
CC(CN1CCCCC1)C(=O)c1ccccc1,CC(CN1CCCCC1)C(=O)c1ccccc1,3.51,OpenChem.sdf,
CC(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,CC(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,-0.54,OpenChem.sdf,
Cc1ccc2c(c1)NC(SCC(=O)O)=NS2(=O)=O,Cc1ccc2c(c1)NC(SCC(=O)O)=NS2(=O)=O,0.7,OpenChem.sdf,
NNC(=O)Nc1ccc(C(=O)O)cc1,NNC(=O)Nc1ccc(C(=O)O)cc1,-0.21,OpenChem.sdf,
CC(CO)NC(=O)Cn1ccnc1[N+](=O)[O-],CC(CO)NC(=O)Cn1ccnc1[N+](=O)[O-],-1.02,OpenChem.sdf,
CNC(=O)ON=Cc1ccc(Cl)c(Cl)c1,CNC(=O)ON=Cc1ccc(Cl)c(Cl)c1,2.89,OpenChem.sdf,
CN(C)C(=O)CCCOC(=O)c1ccccc1,CN(C)C(=O)CCCOC(=O)c1ccccc1,1.86,OpenChem.sdf,
ClCC(Cl)(Cl)CCl,ClCC(Cl)(Cl)CCl,2.72,OpenChem.sdf,
Cc1ccc2cccnc2c1,Cc1ccc2cccnc2c1,2.47,OpenChem.sdf,
OCC1OC(OCc2ccccc2)C(O)C(O)C1O,OCC1OC(OCc2ccccc2)C(O)C(O)C1O,-0.7,OpenChem.sdf,
O=C(O)c1ccc2cccccc1-2,O=C(O)c1ccc2cccccc1-2,2.88,OpenChem.sdf,
NC(=O)c1ccc(-c2cnc(SCCc3c[nH]cn3)[nH]2)cc1,NC(=O)c1ccc(-c2cnc(SCCc3c[nH]cn3)[nH]2)cc1,1.4,OpenChem.sdf,
Cc1nc2c3c(c(C(=O)N4CC(O)C4)cn2c1C)CCC(c1ccccc1)O3,Cc1nc2c3c(c(C(=O)N4CC(O)C4)cn2c1C)CCC(c1ccccc1)O3,3.1,OpenChem.sdf,
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.17,OpenChem.sdf,
CCCCCCC(CCCCC)c1ccccc1,CCCCCCC(CCCCC)c1ccccc1,8.01,OpenChem.sdf,
ClC1=C(Cl)C2(Cl)C(Cl)=C(Cl)C3CC1C(Cl)C32,ClC1=C(Cl)C2(Cl)C(Cl)=C(Cl)C3CC1C(Cl)C32,5.66,OpenChem.sdf,
O=C(O)c1ccc([N+](=O)[O-])c(O)c1,O=C(O)c1ccc([N+](=O)[O-])c(O)c1,1.98,OpenChem.sdf,
CCOC(=O)CON=Cc1ccc(OCCOC(=O)CC)c(OC)c1,CCOC(=O)CON=Cc1ccc(OCCOC(=O)CC)c(OC)c1,2.39,OpenChem.sdf,
Clc1cc2oc3c(Cl)cc(Cl)c(Cl)c3c2cc1Cl,Clc1cc2oc3c(Cl)cc(Cl)c(Cl)c3c2cc1Cl,6.26,OpenChem.sdf,
S=c1cc[nH]cc1,S=c1cc[nH]cc1,0.2,OpenChem.sdf,
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.68,OpenChem.sdf,
COc1ccccc1Oc1ccccc1,COc1ccccc1Oc1ccccc1,2.92,OpenChem.sdf,
CC(Cl)Cl,CC(Cl)Cl,1.79,OpenChem.sdf,
OCCCc1ccncc1,OCCCc1ccncc1,0.58,OpenChem.sdf,
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2c1OCO2,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2c1OCO2,4.15,OpenChem.sdf,
CCCCC1OC(=O)c2cc(Cl)ccc21,CCCCC1OC(=O)c2cc(Cl)ccc21,3.53,OpenChem.sdf,
CCN(CC)C(=O)C1C2CC3C(OC(=O)C31)C2O,CCN(CC)C(=O)C1C2CC3C(OC(=O)C31)C2O,0.15,OpenChem.sdf,
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1,1.56,OpenChem.sdf,
c1ccc2c(c1)[nH]c1cnccc12,c1ccc2c(c1)[nH]c1cnccc12,3.17,OpenChem.sdf,
COc1ccc(C=NNP(=O)(N2CC2)N2CC2)cc1,COc1ccc(C=NNP(=O)(N2CC2)N2CC2)cc1,0.42,OpenChem.sdf,
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(N)C(C)C2OC(=O)OC12C,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(N)C(C)C2OC(=O)OC12C,2.92,OpenChem.sdf,
NCCCN1CCN(CCCN)CC1,NCCCN1CCN(CCCN)CC1,-1.43,OpenChem.sdf,
CCNCNC(=O)c1ccccc1,CCNCNC(=O)c1ccccc1,0.56,OpenChem.sdf,
CCOc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,CCOc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,1.18,OpenChem.sdf,
NC(=O)Nc1cccc(O)c1,NC(=O)Nc1cccc(O)c1,0.36,OpenChem.sdf,
CCC(C(=O)OCc1ccc(Cl)cc1)C(CO)Cc1cncn1C,CCC(C(=O)OCc1ccc(Cl)cc1)C(CO)Cc1cncn1C,2.69,OpenChem.sdf,
Clc1ccc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)c1,Clc1ccc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)c1,6.51,OpenChem.sdf,
NCc1ccccn1,NCc1ccccn1,-0.21,OpenChem.sdf,
COc1ccc(CCNCC(O)COc2ccc(-c3nc(Br)c[nH]3)cc2Cl)cc1OC,COc1ccc(CCNCC(O)COc2ccc(-c3nc(Br)c[nH]3)cc2Cl)cc1OC,4.3,OpenChem.sdf,
COC(=O)c1cnc2n(c1=O)CCCC2,COC(=O)c1cnc2n(c1=O)CCCC2,-0.25,OpenChem.sdf,
CC(C)CC(N)Cc1ccccc1,CC(C)CC(N)Cc1ccccc1,3.29,OpenChem.sdf,
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,5.25,OpenChem.sdf,
CCOC(=O)c1cc(O)c(O)c(O)c1,CCOC(=O)c1cc(O)c(O)c(O)c1,1.3,OpenChem.sdf,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,6.215,OpenChem.sdf,
NS(=O)(=O)c1ccc(CCCCO)cc1,NS(=O)(=O)c1ccc(CCCCO)cc1,0.57,OpenChem.sdf,
Cc1cc(Cl)ccc1Cl,Cc1cc(Cl)ccc1Cl,3.97,OpenChem.sdf,
CCOC(=O)C(=Cc1ccc2c(c1)OCO2)C(C)=O,CCOC(=O)C(=Cc1ccc2c(c1)OCO2)C(C)=O,2.35,OpenChem.sdf,
C=C(C)C(=O)OC(C)(C)C,C=C(C)C(=O)OC(C)(C)C,2.54,OpenChem.sdf,
CNC(=O)NC(=O)c1ccccc1,CNC(=O)NC(=O)c1ccccc1,1.27,OpenChem.sdf,
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,2.7,OpenChem.sdf,
CNC(=O)ON=C1SCOC1C,CNC(=O)ON=C1SCOC1C,0.46,OpenChem.sdf,
CC(=O)CCC(C)C,CC(=O)CCC(C)C,1.88,OpenChem.sdf,
Clc1nc(Cl)c(Cl)[nH]1,Clc1nc(Cl)c(Cl)[nH]1,1.85,OpenChem.sdf,
CC(C)Oc1ccccc1O,CC(C)Oc1ccccc1O,2.09,OpenChem.sdf,
CC(=O)C=Cc1ccccc1F,CC(=O)C=Cc1ccccc1F,2.34,OpenChem.sdf,
NS(=O)(=O)c1ccc(SCCO)s1,NS(=O)(=O)c1ccc(SCCO)s1,0.38,OpenChem.sdf,
COP(=S)(OC)Oc1cc(C)c([N+](=O)[O-])c(C)c1,COP(=S)(OC)Oc1cc(C)c([N+](=O)[O-])c(C)c1,3.89,OpenChem.sdf,
COc1cc(S(C)=O)ccc1-c1cn2ccncc2n1,COc1cc(S(C)=O)ccc1-c1cn2ccncc2n1,1.11,OpenChem.sdf,
CCCCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,CCCCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,3.57,OpenChem.sdf,
CC(C)C(=O)NN,CC(C)C(=O)NN,-0.63,OpenChem.sdf,
CON(C)C(=O)Nc1cccc(C#N)c1,CON(C)C(=O)Nc1cccc(C#N)c1,1.33,OpenChem.sdf,
O=C1c2ccc(Cl)cc2OCN1CCO[N+](=O)[O-],O=C1c2ccc(Cl)cc2OCN1CCO[N+](=O)[O-],2.74,OpenChem.sdf,
CC(=O)NC(CCCN)C(=O)NC(CC(C)C)C(N)=O,CC(=O)NC(CCCN)C(=O)NC(CC(C)C)C(N)=O,-0.71,OpenChem.sdf,
Oc1ccc(Cl)c(Cl)c1Cl,Oc1ccc(Cl)c(Cl)c1Cl,3.8,OpenChem.sdf,
COc1ccc(C2Cc3c(C#N)cccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,COc1ccc(C2Cc3c(C#N)cccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.3,OpenChem.sdf,
CC(=O)Nc1cc(C(F)(F)F)ccc1F,CC(=O)Nc1cc(C(F)(F)F)ccc1F,2.24,OpenChem.sdf,
CCN(CC)S(=O)(=O)N(CC)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,CCN(CC)S(=O)(=O)N(CC)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.09,OpenChem.sdf,
CC(=O)Nc1c(C)cc(O)c(C)c1C,CC(=O)Nc1c(C)cc(O)c(C)c1C,0.75,OpenChem.sdf,
c1ccc2c(c1)OCCOCCOCCOc1ccccc1OCCOCCOCCO2,c1ccc2c(c1)OCCOCCOCCOc1ccccc1OCCOCCOCCO2,2.11,OpenChem.sdf,
CCCCC(C(N)=O)n1nc2ccccc2n1,CCCCC(C(N)=O)n1nc2ccccc2n1,2.28,OpenChem.sdf,
CC1=CCC2C(C1)c1c(O)cc(NS(C)(=O)=O)cc1OC2(C)C,CC1=CCC2C(C1)c1c(O)cc(NS(C)(=O)=O)cc1OC2(C)C,3.12,OpenChem.sdf,
CNC(=O)c1ccco1,CNC(=O)c1ccco1,0.23,OpenChem.sdf,
C#CCn1nnnc1Oc1ccc(NC(=O)N(C)C)cc1,C#CCn1nnnc1Oc1ccc(NC(=O)N(C)C)cc1,1.0,OpenChem.sdf,
CCCCCCOCc1cccc(NC(=O)OCCN2CCCCC2)c1,CCCCCCOCc1cccc(NC(=O)OCCN2CCCCC2)c1,4.97,OpenChem.sdf,
OC1CCN(CCCc2ccccc2COc2ccccc2)CC1,OC1CCN(CCCc2ccccc2COc2ccccc2)CC1,3.21,OpenChem.sdf,
CC(=NNC(=O)c1ccncc1)c1cnccn1,CC(=NNC(=O)c1ccncc1)c1cnccn1,1.2,OpenChem.sdf,
COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,4.56,OpenChem.sdf,
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,6.6,OpenChem.sdf,
COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1,COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1,4.44,OpenChem.sdf,
CC(C)C12CCC(C)(CC1)O2,CC(C)C12CCC(C)(CC1)O2,2.97,OpenChem.sdf,
CCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,CCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,5.29,OpenChem.sdf,
CCC(C)NC(=O)C(=Cc1ccccc1)Sc1ccccc1,CCC(C)NC(=O)C(=Cc1ccccc1)Sc1ccccc1,4.36,OpenChem.sdf,
O=c1ccc2cc3ccoc3cc2o1,O=c1ccc2cc3ccoc3cc2o1,1.67,OpenChem.sdf,
NC(=O)Cc1ccncc1,NC(=O)Cc1ccncc1,-0.65,OpenChem.sdf,
C#CCC(O)(c1ccc(C(C)C)cc1)c1cccnc1,C#CCC(O)(c1ccc(C(C)C)cc1)c1cccnc1,2.16,OpenChem.sdf,
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,2.04,OpenChem.sdf,
Cc1cccc2c(C)cccc12,Cc1cccc2c(C)cccc12,4.38,OpenChem.sdf,
COc1cnc(OC)cn1,COc1cnc(OC)cn1,1.14,OpenChem.sdf,
CC(=O)OCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,CC(=O)OCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.26,OpenChem.sdf,
COC(=O)c1cnc(Cl)cn1,COC(=O)c1cnc(Cl)cn1,0.47,OpenChem.sdf,
Cc1nn(-c2cc(CC(Cl)C(=O)O)c(Cl)cc2F)c(=O)n1C(F)F,Cc1nn(-c2cc(CC(Cl)C(=O)O)c(Cl)cc2F)c(=O)n1C(F)F,3.36,OpenChem.sdf,
C=CCCC(C)=O,C=CCCC(C)=O,1.02,OpenChem.sdf,
NC(=O)c1cccc([N+](=O)[O-])c1,NC(=O)c1cccc([N+](=O)[O-])c1,0.77,OpenChem.sdf,
O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1,1.85,OpenChem.sdf,
CCOc1cccc2nc(N)nc(N)c12,CCOc1cccc2nc(N)nc(N)c12,1.69,OpenChem.sdf,
C[n+]1cccc(Br)c1,C[n+]1cccc(Br)c1,-2.91,OpenChem.sdf,
CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1C(=O)CO,CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1C(=O)CO,4.01,OpenChem.sdf,
CCOC(=O)CCCn1cc([N+](=O)[O-])nc1C,CCOC(=O)CCCn1cc([N+](=O)[O-])nc1C,0.58,OpenChem.sdf,
CC(=O)OCCOCn1cnc2cnc(N)nc21,CC(=O)OCCOCn1cnc2cnc(N)nc21,-0.61,OpenChem.sdf,
O=C(OCC(=O)N1CCCCCC1)c1ccccc1,O=C(OCC(=O)N1CCCCCC1)c1ccccc1,2.3,OpenChem.sdf,
Cc1oc2cc3oc(=O)cc(C)c3cc2c1C,Cc1oc2cc3oc(=O)cc(C)c3cc2c1C,3.22,OpenChem.sdf,
