molecule,logp,dataset_type
FC(F)(F)COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.15,validation
CCOC(=O)C(Cl)(Cl)Cl,2.39,validation
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,7.12,validation
O=C1NC(=O)C(c2ccccc2)C1=O,2.26,validation
CC[C@@H]1CCCCN1C(=O)COc1cccc2c1CCN(Cc1ccc(Cl)cc1)C2=O,5.23,validation
COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.14,validation
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,5.23,validation
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,3.88,validation
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,6.38,validation
O=[N+]([O-])c1ncn(CC(O)CN2CC2)n1,-0.72,validation
NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,-0.04,validation
O=C(Cc1ccccc1)Nc1ccccc1O,2.4,validation
NCC(=O)NCC(=O)O,-2.92,validation
CC1(C)SC2C(NC(=O)c3c(-c4c(F)cccc4Cl)noc3CO)C(=O)N2C1C(=O)O,2.23,validation
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.83,validation
Cc1cc2ccccc2[nH]1,2.53,validation
CC(=O)CC(=O)N=c1[nH][n+]([O-])c2ccccc2[n+]1[O-],-1.4,validation
CC(C(=O)CCN(C)C)n1c(O)c2c(c1O)CC=CC2,0.77,validation
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1,6.14,validation
CCOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1.9,validation
c1ccc(-c2nc3ccccc3s2)cc1,4.26,validation
CN(C)c1ccc(C(N)=O)cc1,1.14,validation
CCCNC(=O)c1[nH]nc(C)c1[N+](=O)[O-],0.65,validation
O=NN(CCCl)C(=O)NC1CSCSC1,2.08,validation
O=C(C=CC(=O)c1ccccc1)c1ccccc1,3.16,validation
O=C(O)C=CC(=O)c1ccccc1,1.53,validation
CCOP(=O)(OCC)SCc1ccccc1,3.21,validation
CCC(C)c1ccc(OC(=O)N(C)C)cc1,3.62,validation
COc1ccc(C(=O)CSc2nnc(-c3ccccc3)o2)cc1,4.15,validation
OCCCOc1cccc(CN2CCCCC2)c1,2.78,validation
COc1ccc(Cn2cncn2)cc1,1.1,validation
CC(C(=O)O)c1ccc(-c2nccs2)c(Br)c1,3.35,validation
CC(=O)Nc1c(Cl)cccc1Cl,1.32,validation
Cc1cc2ccccc2cc1C,4.4,validation
CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-1.65,validation
CN(C)c1cc[n+]([O-])cc1,-0.9,validation
COc1nn(CSP(=S)(OC)OC)c(=O)s1,2.2,validation
CC=NN(C(=O)c1ccc(C)cc1)c1ccccc1,3.6,validation
CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.78,validation
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(OC)CC21C,2.87,validation
CC(=O)NC(CC(N)=O)C(=O)NC(C(N)=O)C(C)C,-1.85,validation
CC(C)(C)c1cc(-c2nc(-c3ccc(C(F)(F)F)cn3)no2)n(Cc2ccccc2)n1,6.58,validation
COC(=O)Nc1ccccc1OC,1.84,validation
O=C1C=NC(c2ccc(F)cc2)c2cc(Cl)ccc2N1,2.9,validation
O=C(NN=Cc1ccccc1O)c1ccc(O)cc1,2.56,validation
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NCc1ccccc1,3.28,validation
NS(=O)(=O)c1nn2c(=Nc3cccc(F)c3)snc2s1,3.06,validation
Cc1c[n+]([O-])c(C)c(Cl)n1,0.44,validation
O=C(COC(=O)c1ccccc1)NC(CO)(CO)CO,0.25,validation
CCc1cnc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)n1,4.22,validation
COc1ccc(N2C3=C(C(=O)CC(C)(C)C3)C(c3ccc4c(c3)OCO4)C3=C2CC(C)(C)CC3=O)cc1,5.72,validation
O=C(C=Cc1ccc(O)c(O)c1)NCCc1ccccc1,2.72,validation
COC(=O)c1ccc(C(=O)OC)cc1,2.25,validation
CN(C)C(=O)Cc1ccco1,0.01,validation
Cc1cnc(C)c(C)n1,0.95,validation
CCNCc1ccccc1,1.82,validation
Nc1ccc(Cl)c(Cl)c1,2.69,validation
Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,validation
Oc1ccc(O)n1-c1ccc(Cl)cc1,0.96,validation
CC(NC(=O)C(N)C(C)C)C(=O)NC(C(=O)O)C(C)C,-0.67,validation
O=C(CN1CCCCC1)NC1COc2ccccc21,2.3,validation
O=C1C=CCCC1,0.61,validation
CCOC(=O)CN(C(=O)CCl)c1ccccc1-c1ccccc1,3.37,validation
COc1ccccc1[N+](=O)[O-],1.73,validation
COc1cc(OC)n2nc(S(=O)(=O)Nc3c(Cl)ccc(C)c3Cl)nc2n1,3.08,validation
CC(C)N(N=Nc1ccc(C(N)=O)cc1)C(C)C,3.0,validation
CC(C)NCC(O)c1ccc2ccccc2c1,3.0,validation
Cc1cccc(NC(N)=O)c1,1.29,validation
CC(=O)OC=C1CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O,-0.44,validation
CN(C)C(N(C)C)=S(I)c1cccc([N+](=O)[O-])c1,-0.88,validation
CC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(N)C(C)C)C(O)O,-1.32,validation
COc1ccc(N2C(=S)N=C(N[C@@H]([C@@H](Oc3ccc(Cl)cc3)n3cncn3)C(C)(C)C)C2(C)C)cc1,5.56,validation
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.04,validation
Cc1ccc(NN=C(C#N)C#N)c([N+](=O)[O-])c1,2.5,validation
CCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,3.5,validation
CCC(C)C(N)C(=O)NC(CCSC)C(=O)NC(Cc1ccccc1)C(=O)O,1.28,validation
CCOc1ccc(NC(=O)OC(C)COC)cc1OCC,2.56,validation
CC(C)SC(C)C,2.84,validation
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7COC(=O)C7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.36,validation
COc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)cc1OC,2.09,validation
CCOc1nc(C#N)nc(N2CCOCC2)n1,2.46,validation
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.9,validation
S=c1ssc2ccccc12,3.57,validation
CN(C)S(=O)(=O)c1ccccc1,1.35,validation
CCCCC(=O)OCC(=O)C1(OC(=O)CCCC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,5.26,validation
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(OC(=O)C2OC(O)CC(O)C2O)C1O,-1.77,validation
O=C(O)Cc1cccc(F)c1,1.65,validation
CNC(=O)Oc1cc(C)c(SC)c(C)c1,2.92,validation
CNC(=O)Oc1ccc(Cl)cc1,2.01,validation
C=CCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.75,validation
CCC(=O)OC1(c2ccccc2)CCN(C)CC1CC,3.61,validation
CSC(C)=NOC(=O)N(C)SN(C)C(=O)C1CC1,1.7,validation
CN(C)c1ccccn1,1.65,validation
CCCCCCNC(=O)CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)O,0.84,validation
Oc1cc(Cl)c(Cl)c(Cl)c1O,3.71,validation
CCC1(CC)OC(=O)c2ccccc21,2.69,validation
COc1ccc(C(c2ccc(OC)cc2)C(Cl)Cl)cc1,4.47,validation
Clc1ccc(Oc2cccc(Cl)c2Cl)cc1,5.63,validation
Cc1ccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc(C)cc3C)CC2)c(C)c1,5.01,validation
CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)OCOC(=O)C(C)(C)C,1.57,validation
O=[N+]([O-])c1nccn1C1SC(CO)C(O)C(O)C1O,-0.66,validation
CCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,3.7,validation
CC(CCC(N)=O)n1nnc2ccccc21,1.15,validation
O=C(OC(=O)c1ccccc1)c1ccccc1,2.26,validation
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)c(F)c21,0.3,validation
